City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,busselton,-33.65,115.3333,18.6,86,18,5.91,AU,1675699629
1,meulaboh,4.1363,96.1285,23.79,91,100,2.69,ID,1675699630
2,airai,-8.9266,125.4092,15.72,94,100,1.02,TL,1675699631
3,kaitangata,-46.2817,169.8464,11.53,82,3,2.49,NZ,1675699631
4,vaini,-21.2,-175.2,22.09,100,20,0.0,TO,1675699632
5,nusaybin,37.0778,41.2178,10.02,65,100,6.23,TR,1675699633
6,hermanus,-34.4187,19.2345,27.11,70,48,7.16,ZA,1675699633
7,nelson bay,-32.7167,152.15,23.33,90,61,6.71,AU,1675699634
8,houma,29.5958,-90.7195,18.89,70,0,2.57,US,1675699634
9,hilo,19.7297,-155.09,20.85,96,100,3.6,US,1675699353
10,grindavik,63.8424,-22.4338,1.97,75,75,12.86,IS,1675699635
11,port hardy,50.6996,-127.4199,6.73,94,100,9.16,CA,1675699636
12,palmer,42.1584,-72.3287,9.26,58,100,1.34,US,1675699636
13,bethel,41.3712,-73.414,9.55,60,64,1.79,US,1675699637
14,new norfolk,-42.7826,147.0587,13.73,64,94,0.89,AU,1675699637
15,bluff,-46.6,168.3333,15.34,71,42,8.0,NZ,1675699637
16,lorengau,-2.0226,147.2712,26.57,82,99,2.9,PG,1675699638
17,morondava,-20.2833,44.2833,27.72,72,63,2.14,MG,1675699638
18,galveston,29.3669,-94.9669,21.7,79,20,6.69,US,1675699601
19,bambous virieux,-20.3428,57.7575,27.34,80,78,5.49,MU,1675699639
20,saskylakh,71.9167,114.0833,-28.53,99,100,2.17,RU,1675699640
21,suraabad,40.8192,49.4687,5.48,82,41,0.71,AZ,1675699640
22,albany,42.6001,-73.9662,4.77,77,100,1.34,US,1675699488
23,stornoway,58.2093,-6.3865,8.29,93,75,11.83,GB,1675699641
24,arandis,-22.4167,14.9667,21.62,58,98,4.95,NA,1675699641
25,jamestown,42.097,-79.2353,-0.23,97,100,5.14,US,1675699137
26,metro,-5.1131,105.3067,24.45,82,56,1.19,ID,1675699642
27,pinega,64.7001,43.3936,-15.14,97,99,2.13,RU,1675699642
28,rikitea,-23.1203,-134.9692,25.61,73,16,2.17,PF,1675699642
29,port elizabeth,-33.918,25.5701,27.16,85,0,6.69,ZA,1675699409
30,kimbe,-5.5502,150.1429,24.57,93,99,0.82,PG,1675699643
31,port blair,11.6667,92.75,26.25,78,29,2.98,IN,1675699643
32,carnarvon,-24.8667,113.6333,24.6,73,0,9.48,AU,1675699644
33,mandalgovi,45.7625,106.2708,-12.73,84,100,3.52,MN,1675699645
34,mar del plata,-38.0023,-57.5575,25.46,63,14,5.36,AR,1675699645
35,severo-kurilsk,50.6789,156.125,-3.8,78,91,6.41,RU,1675699645
36,kapaa,22.0752,-159.319,21.17,94,16,5.77,US,1675699646
37,saint-pierre,-21.3393,55.4781,27.82,69,40,5.66,RE,1675699646
38,hami,42.8,93.45,0.31,42,98,1.67,CN,1675699647
39,emba,48.8264,58.1442,-13.84,92,95,2.6,KZ,1675699647
40,portobelo,9.55,-79.65,25.77,83,34,6.78,PA,1675699647
41,arraial do cabo,-22.9661,-42.0278,29.92,62,0,4.63,BR,1675699648
42,ribeira grande,38.5167,-28.7,16.22,63,40,13.38,PT,1675699588
43,bengkulu,-3.8004,102.2655,24.53,87,100,3.01,ID,1675699648
44,pavilosta,56.8879,21.1859,1.95,88,10,3.72,LV,1675699648
45,malindi,-3.2175,40.1191,25.5,79,16,5.65,KE,1675699649
46,pucallpa,-8.3791,-74.5539,24.02,88,75,1.54,PE,1675699649
47,prince rupert,54.3161,-130.3201,7.05,100,100,5.14,CA,1675699650
48,norman wells,65.282,-126.8329,-26.98,76,40,1.03,CA,1675699651
49,saint george,37.1041,-113.5841,2.92,92,0,3.09,US,1675699602
50,dikson,73.5069,80.5464,-20.97,99,100,0.7,RU,1675699651
51,tuktoyaktuk,69.4541,-133.0374,-38.83,99,78,0.95,CA,1675699652
52,dongsheng,39.8161,109.9776,-3.38,36,1,3.88,CN,1675699652
53,yar-sale,66.8333,70.8333,-28.66,100,100,1.9,RU,1675699653
54,cape town,-33.9258,18.4232,28.23,62,20,5.14,ZA,1675699542
55,pochutla,15.7432,-96.4661,28.9,47,0,2.21,MX,1675699653
56,tual,-5.6667,132.75,27.09,81,100,5.49,ID,1675699653
57,chokurdakh,70.6333,147.9167,-31.63,98,100,2.48,RU,1675699654
58,naze,28.3667,129.4833,18.81,88,74,6.92,JP,1675699654
59,alyangula,-13.8483,136.4192,27.63,67,24,4.17,AU,1675699655
60,acapulco,16.8634,-99.8901,26.9,65,0,1.54,MX,1675699655
61,port alfred,-33.5906,26.891,25.66,82,6,2.24,ZA,1675699655
62,atuona,-9.8,-139.0333,25.73,72,47,7.76,PF,1675699656
63,avarua,-21.2078,-159.775,27.03,89,40,4.12,CK,1675699656
64,kirakira,-10.4544,161.9205,26.76,84,100,4.53,SB,1675699658
65,cockburn town,21.4612,-71.1419,25.3,80,0,8.48,TC,1675699659
66,kieta,-6.2167,155.6333,24.9,90,100,2.69,PG,1675699660
67,upernavik,72.7868,-56.1549,-23.69,93,100,4.64,GL,1675699660
68,jishou,28.3167,109.7167,6.69,90,5,0.46,CN,1675699660
69,campbell river,50.0163,-125.2446,5.81,100,100,1.54,CA,1675699661
70,fort frances,48.5999,-93.4003,-3.24,75,40,4.12,CA,1675699661
71,acari,-15.4311,-74.6158,26.62,76,79,3.91,PE,1675699662
72,saint-philippe,-21.3585,55.7679,27.77,82,75,5.03,RE,1675699662
73,san patricio,28.017,-97.5169,22.97,69,3,7.6,US,1675699662
74,thompson,55.7435,-97.8558,-8.91,92,100,1.03,CA,1675699663
75,ushuaia,-54.8,-68.3,10.26,85,100,1.5,AR,1675699663
76,awbari,26.5921,12.7805,17.02,32,84,4.11,LY,1675699664
77,viedma,-40.8135,-62.9967,26.35,28,0,8.5,AR,1675699664
78,aksu,41.1231,80.2644,-3.04,80,100,0.36,CN,1675699665
79,cabo san lucas,22.8909,-109.9124,22.17,58,0,0.0,MX,1675699665
80,whitehorse,60.7161,-135.0538,-5.57,86,40,7.2,CA,1675699448
81,deputatskiy,69.3,139.9,-32.58,97,100,1.79,RU,1675699666
82,kysyl-syr,63.8986,122.7617,-39.8,100,98,0.43,RU,1675699667
83,kaeo,-35.1,173.7833,15.74,94,20,2.03,NZ,1675699667
84,narsaq,60.9167,-46.05,-18.02,69,58,3.35,GL,1675699575
85,puerto ayora,-0.7393,-90.3518,28.98,91,58,5.36,EC,1675699668
86,marquette,46.5333,-87.6335,-6.29,84,73,6.26,US,1675699668
87,belyy yar,53.6039,91.3903,-24.06,84,40,0.0,RU,1675699669
88,esperance,-33.8667,121.9,25.09,44,53,6.34,AU,1675699669
89,vostok,46.4856,135.8833,-21.83,99,100,2.24,RU,1675699670
90,lovozero,68.005,35.0117,-6.95,89,100,3.07,RU,1675699670
91,cap-aux-meules,47.3821,-61.8597,-3.97,93,100,2.57,CA,1675699670
92,russell,32.3502,-85.1999,16.57,62,0,0.0,US,1675699671
93,cidreira,-30.1811,-50.2056,27.02,60,20,4.75,BR,1675699533
94,petropavlovsk-kamchatskiy,53.0452,158.6483,-13.05,82,100,3.57,RU,1675699672
95,barrow,71.2906,-156.7887,-21.99,84,100,4.63,US,1675699672
96,buzuluk,52.7807,52.2635,-13.43,99,95,0.67,RU,1675699673
97,hazorasp,41.3194,61.0742,3.91,56,72,4.71,UZ,1675699673
98,lucea,18.451,-78.1736,28.92,67,1,5.07,JM,1675699178
99,yulara,-25.2406,130.9889,24.64,17,0,3.87,AU,1675699674
100,hithadhoo,-0.6,73.0833,27.59,68,41,4.56,MV,1675699674
101,laguna,38.421,-121.4238,7.28,93,0,3.6,US,1675699674
102,hobart,-42.8794,147.3294,13.92,73,75,1.54,AU,1675699675
